ID,Subsystem,Measurement / Parameter,Measured Value,Units,Method / Instrument,Target Uncertainty,Status,Target Concepts,Notes
SB9-ID-001,Machine identity,Model / size designation,South Bend 9x36,text,Visual / documentation,N/A,Known,All,Do not publish serial number in public repo.
SB9-SP-001,Spindle interface,Spindle nose thread major diameter,,in,Micrometer preferred; caliper provisional,±0.001 in,High priority,Fly cutter,Production interface requires precision confirmation.
SB9-SP-002,Spindle interface,Spindle nose thread pitch,,TPI,Thread pitch gauge / manual cross-check,Exact,High priority,Fly cutter,
SB9-SP-003,Spindle interface,Spindle threaded length,,in,Caliper / depth rod,±0.005 in,High priority,Fly cutter,
SB9-SP-004,Spindle interface,Spindle register diameter,,in,Micrometer,±0.0005 in,High priority,Fly cutter,Production-critical.
SB9-SP-005,Spindle interface,Spindle register axial depth,,in,Depth mic / caliper provisional,±0.001 in,High priority,Fly cutter,
SB9-SP-006,Spindle interface,Spindle bore / internal taper type,,text,Known arbor / gauges / documentation,,To identify,Fly cutter; general,
SB9-SP-008,Spindle interface,Spindle centerline height above bed reference,,in,Height transfer / indicator setup,±0.005 in,High priority,Fly cutter; auxiliary spindle,
SB9-CH-001,Chuck / rotating envelope,Installed chuck OD,,in,Caliper / tape,±0.01 in,To measure,Fly cutter; auxiliary spindle,
SB9-CH-002,Chuck / rotating envelope,Chuck axial projection from spindle datum,,in,Caliper / rule,±0.01 in,To measure,Fly cutter; auxiliary spindle,
SB9-BD-002,Bed,Bed overall length,,in,Tape,±0.03 in,To measure,Cabinet; general CAD,
SB9-BD-003,Bed,Bed overall width,,in,Caliper / tape,±0.03 in,To measure,Cabinet,
SB9-CS-001,Cross slide,Cross-slide total travel,,in,Dial indicator / machine screw,±0.005 in,High priority,Fly cutter; auxiliary spindle,
SB9-CS-002,Cross slide,Cross-slide top surface length,,in,Caliper / rule,±0.01 in,High priority,Fly cutter; auxiliary spindle,
SB9-CS-003,Cross slide,Cross-slide top surface width,,in,Caliper / rule,±0.01 in,High priority,Fly cutter; auxiliary spindle,
SB9-CS-004,Cross slide,T-slot / mounting feature geometry,,in,"Caliper, pins, micrometer",±0.002 in,High priority,Auxiliary spindle,
SB9-CP-001,Compound,Compound top footprint length,,in,Caliper / rule,±0.01 in,High priority,Auxiliary spindle,
SB9-CP-002,Compound,Compound top footprint width,,in,Caliper / rule,±0.01 in,High priority,Auxiliary spindle,
SB9-CP-003,Compound,Compound travel,,in,Dial indicator,±0.005 in,High priority,Auxiliary spindle,
SB9-CP-004,Compound,Compound rotation practical envelope,,deg,Machine scale / angle gauge,±0.5 deg,To measure,Auxiliary spindle,
SB9-TP-001,Toolpost,Toolpost stud major diameter,,in,Micrometer / caliper provisional,±0.001 in,High priority,Auxiliary spindle,
SB9-TP-002,Toolpost,Toolpost stud thread pitch,,TPI,Thread pitch gauge,Exact,High priority,Auxiliary spindle,
SB9-TP-003,Toolpost,Usable stud length above compound,,in,Caliper,±0.005 in,High priority,Auxiliary spindle,
SB9-QC-001,QCTP,QCTP type / size,,text,Identification / markings,,To identify,Auxiliary spindle,
SB9-QC-002,QCTP,Dovetail width / reference span,,in,Micrometer / gauge pins,±0.001 in,Measure if used,Auxiliary spindle,
SB9-QC-003,QCTP,Dovetail included angle,,deg,Comparative geometry / sine method later,±0.25 deg,Measure if used,Auxiliary spindle,
SB9-QC-004,QCTP,QCTP reference height to spindle centerline,,in,Height transfer / indicator,±0.002 in,High priority if QCTP,Auxiliary spindle,
SB9-EN-001,Work envelope,Spindle axis to compound reference surface,,in,Height transfer,±0.002 in,Critical,Auxiliary spindle,Master center-height parameter.
SB9-EN-002,Work envelope,Chuck-to-compound minimum clearance,,in,Controlled near-contact measurement,±0.02 in,High priority,Fly cutter; auxiliary spindle,
SB9-EN-003,Work envelope,Usable carriage longitudinal travel near chuck,,in,Tape / indicator,±0.02 in,To measure,Fly cutter; auxiliary spindle,
SB9-EN-004,Work envelope,Tailstock interference envelope,,in,Bounding measurements,±0.03 in,To measure,Auxiliary spindle; cavity,
SB9-TS-001,Tailstock,Quill diameter,,in,Micrometer,±0.001 in,To measure,General,
SB9-TS-002,Tailstock,Quill travel,,in,Scale / indicator,±0.01 in,To measure,Cavity; general,
SB9-TS-003,Tailstock,Internal taper type,,text,Known tooling / documentation,,To identify,Cavity; general,
SB9-DR-001,Drive,Motor envelope,,in,Tape / caliper,±0.03 in,High priority,Cabinet,Replace provisional KCL dimensions.
SB9-DR-002,Drive,Motor shaft diameter,,in,Micrometer,±0.001 in,High priority,Cabinet,
SB9-DR-003,Drive,Motor mounting foot pattern,,in,Caliper / transfer punches,±0.01 in,High priority,Cabinet,
SB9-DR-004,Drive,Countershaft / pulley envelope,,in,Tape / caliper,±0.03 in,To measure,Cabinet,
SB9-DR-005,Drive,Belt center distance / adjustment range,,in,Tape / caliper,±0.03 in,To measure,Cabinet,
SB9-MT-001,Mounting,Lathe foot / mounting-hole pattern,,in,Caliper / tape / transfer points,±0.01 in,High priority,Cabinet,
SB9-MT-002,Mounting,Mounting bolt diameter / thread,,in / TPI,Caliper + thread gauge,Exact thread,High priority,Cabinet,
SB9-MT-003,Mounting,Foot contact-pad dimensions,,in,Caliper / rule,±0.01 in,To measure,Cabinet,
SB9-RF-001,RF manufacturability,Maximum practical workpiece OD in current chuck setup,,in,Chuck/jaw envelope assessment,±0.03 in,To measure,TM010 cavity,
